,hotel_link,hotel_link-href,review_count,hotel_name
1226,Amaris Hotel Legian,https://www.tripadvisor.co.id/Hotel_Review-g608487-d2044816-Reviews-or5-Amaris_Hotel_Legian-Legian_Kuta_District_Bali.html,339,amaris_hotel_le
1231,Alron Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d3474836-Reviews-or5-Alron_Hotel-Kuta_Kuta_District_Bali.html,220,alron_hotel
1234,Wenara Bali Bungalow,https://www.tripadvisor.co.id/Hotel_Review-g297701-d3445782-Reviews-or5-Wenara_Bali_Bungalow-Ubud_Gianyar_Regency_Bali.html,134,wenara_bali_bun
1240,The Radiant Hotel and Spa,https://www.tripadvisor.co.id/Hotel_Review-g562690-d1819867-Reviews-or5-The_Radiant_Hotel_and_Spa-Tuban_Kuta_Kuta_District_Bali.html,441,the_radiant_hot
1251,Legong Keraton Beach Hotel,https://www.tripadvisor.co.id/Hotel_Review-g311298-d636133-Reviews-or5-Legong_Keraton_Beach_Hotel-Canggu_North_Kuta_Bali.html,330,legong_keraton_
1258,Coco Guesthouse & Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297697-d2702567-Reviews-or5-Coco_Guesthouse_Bungalows-Kuta_Kuta_District_Bali.html,267,coco_guesthouse
1260,Manggar Indonesia Hotel & Residence,https://www.tripadvisor.co.id/Hotel_Review-g562690-d5987548-Reviews-or5-Manggar_Indonesia_Hotel_Residence-Tuban_Kuta_Kuta_District_Bali.html,233,manggar_indones
1261,Wyndham Garden Kuta Beach Bali,https://www.tripadvisor.co.id/Hotel_Review-g297697-d1934805-Reviews-or5-Wyndham_Garden_Kuta_Beach_Bali-Kuta_Kuta_District_Bali.html,460,wyndham_garden_
1269,La Walon Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d309154-Reviews-or5-La_Walon_Hotel-Kuta_Kuta_District_Bali.html,275,la_walon_hotel
1270,Three Brothers Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g608487-d813933-Reviews-or5-Three_Brothers_Bungalows-Legian_Kuta_District_Bali.html,422,three_brothers_
1280,Lovina Beach Hotel,https://www.tripadvisor.co.id/Hotel_Review-g1599559-d1552295-Reviews-or5-Lovina_Beach_Hotel-Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali.html,219,lovina_beach_ho
1281,Jesen Inn,https://www.tripadvisor.co.id/Hotel_Review-g297697-d1220427-Reviews-or5-Jesen_Inn-Kuta_Kuta_District_Bali.html,207,jesen_inn
1287,Munari Resort Ubud,https://www.tripadvisor.co.id/Hotel_Review-g1933359-d2587987-Reviews-or5-Munari_Resort_Ubud-Kedewatan_Ubud_Gianyar_Regency_Bali.html,101,munari_resort_u
1290,Hotel The Flora Kuta Bali,https://www.tripadvisor.co.id/Hotel_Review-g297697-d648137-Reviews-or5-Hotel_The_Flora_Kuta_Bali-Kuta_Kuta_District_Bali.html,269,hotel_the_flora
1293,Uma Sari Cottage,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1489089-Reviews-or5-Uma_Sari_Cottage-Ubud_Gianyar_Regency_Bali.html,142,uma_sari_cottag
1297,Ozz Hotel Kuta,https://www.tripadvisor.co.id/Hotel_Review-g297697-d3912004-Reviews-or5-Ozz_Hotel_Kuta-Kuta_Kuta_District_Bali.html,268,ozz_hotel_kuta
1298,Bali Breezz Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297696-d1986884-Reviews-or5-Bali_Breezz_Hotel-Jimbaran_South_Kuta_Bali.html,235,bali_breezz_hot
